case_id,existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,proxy_id,proxy_label,proxy_group,baseline_normalized_response_integral,retrofit_normalized_response_integral,relative_photocurrent_proxy_gain_percent,passes_positive_gain_gate,passes_provisional_margin_gate,is_nominal_optical_case,maximum_tmm_physical_violation
22,1.25,80.0,1.08,0.0,116.736,1.2,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.458229815212,1.2389828338132258,True,True,False,0.0
23,1.25,80.0,1.08,0.0,116.736,1.2,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.7585100500066,1.2860687543866651,True,True,False,0.0
23,1.25,80.0,1.08,0.0,116.736,1.2,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.0789587417673,1.2859263419008817,True,True,False,0.0
23,1.25,80.0,1.08,0.0,116.736,1.2,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.6976158504843,1.2816160431582087,True,True,False,0.0
24,1.25,80.0,1.08,0.0,116.736,1.2,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.2376956085217,1.1941289462539275,True,True,False,0.0
24,1.25,80.0,1.08,0.0,116.736,1.2,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.5610733709198,1.1939136501134329,True,True,False,0.0
24,1.25,80.0,1.08,0.0,116.736,1.2,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.1818126902664,1.1897546107009687,True,True,False,0.0
25,1.25,80.0,1.08,0.0,116.736,1.25,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.9862033520515,1.3262636430756638,True,True,False,0.0
25,1.25,80.0,1.08,0.0,116.736,1.25,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.3039921816123,1.325908032266916,True,True,False,0.0
25,1.25,80.0,1.08,0.0,116.736,1.25,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.9218703627344,1.3215544194984796,True,True,False,0.0
26,1.25,80.0,1.08,0.0,116.736,1.25,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.9358673650813,1.3173777892751979,True,True,False,0.0
26,1.25,80.0,1.08,0.0,116.736,1.25,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.2505968006676,1.316421275145935,True,True,False,0.0
26,1.25,80.0,1.08,0.0,116.736,1.25,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.860121747695,1.3105573635142311,True,True,False,0.0
27,1.25,80.0,1.08,0.0,116.736,1.25,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.6205146111479,1.0851774695630552,True,True,False,0.0
27,1.25,80.0,1.08,0.0,116.736,1.25,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.9443820436339,1.0843461044369143,True,True,False,0.0
27,1.25,80.0,1.08,0.0,116.736,1.25,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.5582382068736,1.078699755465035,True,True,False,0.0
28,1.25,80.0,1.08,0.0,125.0,1.15,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.6488417712194,1.0901780867780742,True,True,False,0.0
28,1.25,80.0,1.08,0.0,125.0,1.15,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.9809350585462,1.0908404784516024,True,True,False,0.0
28,1.25,80.0,1.08,0.0,125.0,1.15,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.6110875340025,1.0881119019365915,True,True,False,0.0
29,1.25,80.0,1.08,0.0,125.0,1.15,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.7742791512123,1.1123216521837154,True,True,False,0.0
29,1.25,80.0,1.08,0.0,125.0,1.15,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.1045135901317,1.1127966756689776,True,True,False,0.0
29,1.25,80.0,1.08,0.0,125.0,1.15,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.7325490420043,1.1097434640789055,True,True,False,0.0
30,1.25,80.0,1.08,0.0,125.0,1.15,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.4996631303886,1.063843456777459,True,True,False,0.0
30,1.25,80.0,1.08,0.0,125.0,1.15,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.8302336477398,1.064065359390471,True,True,False,0.0
