study,trial_number,state,refractive_index,thickness_nm,transmitted_power_w_m2,relative_gain_vs_no_retrofit_percent
practical_polymer,100,COMPLETE,1.313239150317269,61.50450577919673,819.4087887665421,-0.9712348959725281
practical_polymer,101,COMPLETE,1.3072126218744446,20.089820929412372,827.670387971902,0.027211762529555372
practical_polymer,102,COMPLETE,1.3051935300115216,43.15874677181012,824.1813055917772,-0.3944575241400239
practical_polymer,103,COMPLETE,1.316991671630266,78.9402515418987,815.2459403087787,-1.4743314550271003
practical_polymer,104,COMPLETE,1.3294460808366704,38.45715811710323,823.7008488020361,-0.4525226110980496
practical_polymer,105,COMPLETE,1.308231868923729,97.32250322248424,814.078914810757,-1.6153710624835393
practical_polymer,106,COMPLETE,1.3015399059022874,72.61656069384861,818.6888016835003,-1.0582481580975411
practical_polymer,107,COMPLETE,1.3207959629209023,22.34640719529719,827.2136206472385,-0.02799035968514829
practical_polymer,108,COMPLETE,1.3184543017948747,39.80272559079801,824.0544612901473,-0.4097871553608412
practical_polymer,109,COMPLETE,1.3112796884058855,119.32965942533336,811.8802303840616,-1.8810906967052565
practical_polymer,110,COMPLETE,1.3006370099001638,63.2425029007835,820.5320271449992,-0.8354871336090142
practical_polymer,111,COMPLETE,1.3245820686473155,20.661118022089177,827.3571787499654,-0.010640800065297995
practical_polymer,112,COMPLETE,1.3218414615270757,41.1914208267153,823.5104789638866,-0.4755295524970782
practical_polymer,113,COMPLETE,1.3334870150414075,20.354975974196734,827.2498206464786,-0.02361544783325842
practical_polymer,114,COMPLETE,1.3120546157572022,85.85273322940088,814.8967720511594,-1.5165298080831002
practical_polymer,115,COMPLETE,1.333565870816246,63.86266305701442,816.1989595726208,-1.3591553401105183
practical_polymer,116,COMPLETE,1.3435676973998865,103.64641571399991,806.7684608808976,-2.4988680849082456
practical_polymer,117,COMPLETE,1.322689605326863,22.195362317954075,827.1973941072143,-0.029951400672900697
practical_polymer,118,COMPLETE,1.3346704678068417,48.24414969238063,820.5835813923688,-0.8292566006651736
practical_polymer,119,COMPLETE,1.3467840869359788,75.4259892557962,811.0410917297834,-1.9825038934190964
