active_refractive_index,active_thickness_nm,primer_refractive_index,primer_thickness_nm,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,relative_gain_vs_baseline_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_energy_residual
1.0929340906200649,100.0,1.15,50.0,833.3638880573217,99.674956491893,5.918662515256415,0.7152935726203576,True,True,1.2212453270876722e-15
1.0929340906200649,100.0,1.15,75.0,832.8770356129053,99.61672623148624,5.431810070840015,0.6564555457168295,True,True,1.2212453270876722e-15
1.0929340906200649,100.0,1.2,30.0,833.2775176172672,99.66462610683794,5.832292075201963,0.7048553662728777,True,True,1.2212453270876722e-15
1.0929340906200649,100.0,1.2,50.0,832.9070591149651,99.62031720933449,5.461833572899877,0.6600840036658367,True,True,8.881784197001252e-16
1.0929340906200649,100.0,1.2,75.0,832.186938259696,99.53418674946398,4.741712717630776,0.5730545746426231,True,True,9.992007221626409e-16
1.0929340906200649,100.0,1.25,30.0,832.6261520879277,99.58671916639135,5.180926545862462,0.6261352879845793,True,True,9.992007221626409e-16
1.0929340906200649,100.0,1.25,50.0,831.4258730481254,99.44315911683206,3.9806475060601088,0.4810768596135603,True,True,9.992007221626409e-16
1.0929340906200649,100.0,1.25,75.0,829.7380120926091,99.24128155804122,2.2927865505438376,0.27709224487238016,True,True,8.881784197001252e-16
1.0929340906200649,116.73562789476563,1.15,30.0,833.361392671969,99.67465802992457,5.9161671299037835,0.7149919955158434,True,True,8.881784197001252e-16
1.0929340906200649,116.73562789476563,1.15,50.0,833.0421594069156,99.6364759557299,5.596933864850371,0.6764114036894442,True,True,8.881784197001252e-16
1.0929340906200649,116.73562789476563,1.15,75.0,832.5363598702439,99.57597951769861,5.0911343281786685,0.6152835463934704,True,True,9.992007221626409e-16
1.0929340906200649,116.73562789476563,1.2,30.0,833.4056561869331,99.67995219252444,5.96043064486787,0.7203414148608024,True,True,9.992007221626409e-16
1.0929340906200649,116.73562789476563,1.2,50.0,832.9620348635659,99.62689261466274,5.516809321500659,0.6667280384495008,True,True,9.992007221626409e-16
1.0929340906200649,116.73562789476563,1.2,75.0,832.268247842117,99.54391182779571,4.823022300051775,0.5828811565009852,True,True,9.992007221626409e-16
1.0929340906200649,116.73562789476563,1.25,30.0,833.0266062911153,99.63461571656796,5.581380749050027,0.6745317486596921,True,True,9.992007221626409e-16
