carrier_refractive_index,trial_number,retrofit_refractive_index,retrofit_thickness_nm,optimization_relative_gain_percent,trial_state
1.22,108,1.2923592215608561,150.41661248080118,-1.513459579534271,COMPLETE
1.22,109,1.1185159815087233,118.99416008311368,0.27236823170808666,COMPLETE
1.22,110,1.0872950467268498,132.55746231937374,0.2749616618926032,COMPLETE
1.22,111,1.1134520905999645,131.30594473151996,0.2893514699077837,COMPLETE
1.22,112,1.1038979211657545,122.4803006222951,0.2882734251272723,COMPLETE
1.22,113,1.0911655425027875,125.77142036424412,0.2789940284525061,COMPLETE
1.22,114,1.1100524501327156,134.6992840712057,0.29151343327997736,COMPLETE
1.22,115,1.1182635188543157,140.7194333016176,0.27376131467133913,COMPLETE
1.22,116,1.099072057054105,144.97326818129835,0.28128621395639986,COMPLETE
1.22,117,1.1269581706372755,112.97815823351362,0.24133667369463652,COMPLETE
1.22,118,1.107349803806086,129.46006632008283,0.29398268669666994,COMPLETE
1.22,119,1.094513950434278,103.18449337370113,0.21655653005174802,COMPLETE
1.22,120,1.1044481854081327,116.85223989429721,0.2774447505764943,COMPLETE
1.22,121,1.114058634772482,130.45157992262637,0.2886787383459488,COMPLETE
1.22,122,1.1082871026472858,134.619406221628,0.2927724563607015,COMPLETE
1.22,123,1.0990496261319902,125.01506779102968,0.28894946415105593,COMPLETE
1.22,124,1.124416494357535,136.6263140810665,0.2647392766841339,COMPLETE
1.22,125,1.1053719139312326,122.75068251627464,0.28885108674594484,COMPLETE
1.22,126,1.1191623105190591,128.46054862511832,0.280484256575364,COMPLETE
1.22,127,1.0831538521391404,138.40118013172898,0.2628871575474756,COMPLETE
1.22,128,1.1327879821356368,134.07616322149676,0.24047545323373498,COMPLETE
1.22,129,1.0744251635512065,146.46554153765894,0.2255269386395975,COMPLETE
1.22,130,1.091863298696118,109.57239848710914,0.24012939355766427,COMPLETE
1.22,131,1.113844902863633,132.2294571189864,0.2886709453855163,COMPLETE
1.22,132,1.1066706088641654,127.98498213529749,0.2936320621814259,COMPLETE
1.22,133,1.100854709211418,119.45722365706615,0.2815892011259091,COMPLETE
1.22,134,1.0975482315623635,125.65146420913496,0.2882294498279814,COMPLETE
1.22,135,1.1074759515729864,128.4555327715079,0.2936073581073728,COMPLETE
1.22,136,1.087171906489752,140.83049293761906,0.2710286841081322,COMPLETE
1.22,137,1.1072733508742485,122.00691435964879,0.2876119427450252,COMPLETE
1.22,138,1.119631028446058,116.05147485503086,0.26452021625826827,COMPLETE
1.22,139,1.0942237025662285,135.09292065929236,0.28734618802312983,COMPLETE
1.24,0,1.100474,118.791,0.18579826203370953,COMPLETE
1.24,1,1.1135528725660044,134.70397652008117,0.21056525625782196,COMPLETE
1.24,2,1.1390909801866769,117.55653993835244,0.16211186123864518,COMPLETE
1.24,3,1.2767887748426074,144.84852603089877,-1.2253057477890628,COMPLETE
1.24,4,1.0701996825835425,174.9958355273168,0.0028262384043520328,COMPLETE
1.24,5,1.116379819144255,59.152149749675864,-0.2706704766608059,COMPLETE
1.24,6,1.176911004543684,160.51038331143968,-0.10849337903316991,COMPLETE
1.24,7,1.2482309988776499,231.70822650360128,-0.7825640996321215,COMPLETE
1.24,8,1.1223368937268432,50.58159147859298,-0.36769667369256354,COMPLETE
1.24,9,1.1625400398469932,192.61459544391408,-0.13061548773345422,COMPLETE
1.24,10,1.2110141419044493,206.9115417646466,-0.47083120852309257,COMPLETE
