wavelength_nm,solar_irradiance_w_m2_nm,existing_ar_reflectance_tmm,existing_ar_transmittance_tmm,existing_ar_reflectance_meep,existing_ar_transmittance_meep,stacked_retrofit_reflectance_tmm,stacked_retrofit_transmittance_tmm,stacked_minus_existing_transmittance
444.0,1.4084,0.003837254140436294,0.9961627458595637,0.0038392513575728447,0.9961623910801735,0.018770316163982045,0.9812296838360179,-0.014933062023545718
445.0,1.4619,0.003757369239009541,0.9962426307609905,0.003759641048661725,0.9962425138951225,0.019013811254887505,0.9809861887451125,-0.015256442015878058
446.0,1.3108,0.003679082457632761,0.9963209175423673,0.0036819764048707654,0.9963205557825285,0.01925476552364941,0.9807452344763505,-0.015575683066016754
447.0,1.4903,0.003602380459271647,0.9963976195407284,0.003604311761079806,0.9963985976699344,0.019493133018635093,0.9805068669813649,-0.015890752559363452
448.0,1.5081,0.0035272499121494737,0.9964727500878505,0.00353012112699002,0.9964726264922532,0.0197288700058051,0.9802711299941949,-0.016201620093655666
449.0,1.5045,0.0034536774929202,0.9965463225070798,0.003456826136026317,0.9965456206962291,0.01996193492073546,0.9800380650792645,-0.016508257427815254
450.0,1.5595,0.0033816498897378373,0.9966183501102621,0.0033835311450626146,0.9966186149002051,0.02019228832099593,0.979807711679004,-0.016810638431258074
451.0,1.6173,0.003311153805225001,0.996688846194775,0.0033145265915140074,0.9966874592480163,0.02041989283891102,0.979580107161089,-0.017108739033686038
452.0,1.5482,0.003242175959342982,0.996757824040657,0.0032455220379654006,0.9967563035958273,0.020644713134731787,0.9793552868652682,-0.017402537175388866
453.0,1.4297,0.0031747030921654884,0.9968252969078345,0.0031772342688187213,0.9968244923687277,0.020866715850242287,0.9791332841497578,-0.017692012758076747
454.0,1.5335,0.0031087219665585954,0.9968912780334414,0.003112450778970355,0.9968894761087309,0.021085869562824103,0.9789141304371759,-0.017977147596265453
455.0,1.5224,0.003044219370769216,0.9969557806292307,0.0030476672891219885,0.9969544598487341,0.0213021447399992,0.9786978552600007,-0.018257925369229988
456.0,1.5724,0.002981182120923965,0.997018817879076,0.002984158903279416,0.9970180850328636,0.021515513694470977,0.978484486305529,-0.018534331573547003
457.0,1.5854,0.0029195970634410613,0.997080402936559,0.002923572630783455,0.9970785968597828,0.021725950539680475,0.9782740494603195,-0.01880635347623949
458.0,1.5514,0.0028594510773570737,0.9971405489226429,0.0028629863582874944,0.997139108686702,0.02193343114589431,0.9780665688541057,-0.019073980068537222
459.0,1.5391,0.0028007310765707505,0.9971992689234292,0.0028040622277141886,0.9971978715862272,0.022137933096838334,0.9778620669031617,-0.019337202020267563
460.0,1.5291,0.0027434240120059873,0.997256575987994,0.002747618118422305,0.9972540249750375,0.022339435646890237,0.9776605643531098,-0.019596011634884225
461.0,1.5827,0.0026875168736958535,0.9973124831263042,0.002691174009130421,0.9973101783638477,0.02253791967884282,0.9774620803211572,-0.01985040280514694
462.0,1.5975,0.002632996692789767,0.9973670033072103,0.0026365959692186878,0.997364663101068,0.022733367662247834,0.9772666323377521,-0.02010037096945816
463.0,1.6031,0.0025798505434856053,0.9974201494565144,0.002584195010250462,0.9974172010780998,0.022925763612350526,0.9770742363876495,-0.020345913068864907
464.0,1.5544,0.002528065544888874,0.9974719344551112,0.0025317940512822362,0.9974697390551317,0.023115093049621636,0.9768849069503783,-0.020587027504732847
465.0,1.535,0.002477628862800439,0.9975223711371995,0.0024813190772474455,0.9975204737399521,0.02330134295989471,0.9766986570401053,-0.02082371409709427
466.0,1.5673,0.0024285277114350534,0.9975714722885649,0.0024328984871416523,0.9975692849130803,0.023484501755113726,0.9765154982448863,-0.02105597404367865
467.0,1.4973,0.0023807493550720205,0.997619250644928,0.002384477897035859,0.9976180960862084,0.023664559234696632,0.9763354407653033,-0.021283809879624638
468.0,1.5619,0.0023342811096401044,0.9976657188903599,0.002337908117699582,0.9976648843060567,0.023841506547518165,0.9761584934524818,-0.021507225437878086
469.0,1.5682,0.0022891103442381003,0.9977108896557619,0.002293446206184143,0.9977093686068915,0.024015336154514812,0.9759846638454852,-0.021726225810276723
470.0,1.5077,0.0022452244825929882,0.997754775517407,0.002248984294668704,0.9977538529077263,0.024186041791914577,0.9758139582080855,-0.021940817309321514
471.0,1.5331,0.002202611004457053,0.9977973889955429,0.0022061285125606076,0.9977966568477452,0.024353618435092452,0.9756463815649076,-0.02215100743063536
472.0,1.6126,0.0021612574469457237,0.9978387425530543,0.0021655672010344297,0.9978370602723128,0.024518062263052743,0.9754819377369472,-0.022356804816107023
473.0,1.5499,0.0021211514058176325,0.9978788485941824,0.0021250058895082523,0.9978774636968804,0.02467937062353745,0.9753206293764626,-0.022558219217719833
474.0,1.5671,0.0020822805366984528,0.9979177194633015,0.0020856455734083097,0.9979167461590326,0.024837541998760572,0.9751624580012395,-0.022755261462062082
475.0,1.6185,0.0020446325562499647,0.99795536744375,0.00204888741406521,0.9979535998692848,0.024992575971766632,0.9750074240282334,-0.022947943415516647
476.0,1.5631,0.002008195243285867,0.9979918047567141,0.002012129254722111,0.997990453579537,0.025144473193412065,0.9748555268065879,-0.023136277950126183
477.0,1.5724,0.0019729564398356728,0.9980270435601644,0.001976038618871166,0.9980266151130097,0.025293235349965835,0.9747067646500341,-0.02332027891013022
478.0,1.623,0.0019389040521581914,0.9980610959478418,0.001943013646465671,0.998059597760532,0.02543886513132796,0.974561134868672,-0.02349996107916974
479.0,1.5916,0.0019060260517058587,0.9980939739482941,0.0019099886740601764,0.9980925804080543,0.02558136619986097,0.974418633800139,-0.02367534014815509
480.0,1.6181,0.0018743104760414288,0.9981256895239585,0.0018769637016546816,0.9981255630555765,0.02572074315983138,0.9742792568401686,-0.023846432683789942
481.0,1.6177,0.0018437454297080419,0.998156254570292,0.0018476267954764983,0.9981543222159708,0.025857001527456635,0.9741429984725434,-0.024013256097748625
482.0,1.6236,0.0018143190850542135,0.9981856809149457,0.001818289889298315,0.998183081376365,0.02599014770155279,0.9740098522984472,-0.024175828616498585
