existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,incident_power_w_m2,baseline_transmitted_power_w_m2,retrofit_transmitted_power_w_m2,additional_transmitted_power_w_m2,baseline_weighted_transmittance_percent,retrofit_weighted_transmittance_percent,absolute_gain_percentage_points,relative_gain_percent,retrofit_absorbed_power_w_m2,retrofit_weighted_absorptance_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_physical_violation
1.25,80.0,1.08,0.0,135.0,1.25,30.0,836.08151675,823.7195532370972,832.4365955524795,8.717042315382287,98.52144040201297,99.56404715036771,1.0426067483547545,1.0582536594069654,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.25,50.0,836.08151675,823.7195532370972,831.8353416460782,8.115788408980961,98.52144040201297,99.49213383876402,0.9706934367510597,0.9852611094500673,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,135.0,1.25,75.0,836.08151675,823.7195532370972,829.5353721830012,5.81581894590397,98.52144040201297,99.2170446976935,0.6956042956805348,0.7060435706605062,0.0,0.0,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.15,30.0,836.08151675,823.7195532370972,831.4462762549225,7.726723017825293,98.52144040201297,99.44559945385524,0.9241590518422728,0.938028360193758,0.01783087203284895,0.0021326714770780694,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.15,50.0,836.08151675,823.7195532370972,831.5662586803026,7.846705443205337,98.52144040201297,99.4599500193176,0.9385096173046499,0.9525942916334733,0.017661055923768487,0.0021123605258516185,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.15,75.0,836.08151675,823.7195532370972,831.0663936455518,7.346840408454568,98.52144040201297,99.40016338072597,0.8787229787130165,0.8919104056207675,0.017336078588856718,0.0020734914289512333,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.2,30.0,836.08151675,823.7195532370972,832.0703973261905,8.350844089093243,98.52144040201297,99.52024780557265,0.9988074035597012,1.0137969963533886,0.017451111768539695,0.0020872500370986936,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.2,50.0,836.08151675,823.7195532370972,832.0223759399364,8.302822702839194,98.52144040201297,99.51450418066385,0.9930637786508865,1.007967174047322,0.017119446616204535,0.00204758104003434,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.2,75.0,836.08151675,823.7195532370972,830.9326977892443,7.213144552147128,98.52144040201297,99.38417261264547,0.862732210632514,0.8756796562374325,0.016749628626911373,0.0020033487514495244,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.25,30.0,836.08151675,823.7195532370972,832.2627705151658,8.543217278068596,98.52144040201297,99.54325670902541,1.0218163070124582,1.0371512057101235,0.017071529099348365,0.002041849838483272,True,True,0.0
